date,suburb,address,action,price,profile,bed,url,bath,car,size,photo
7/09/2019,Greenacre,318 Waterloo Rd,Sold prior to auction,940000,House,3,https://www.domain.com.au/318-waterloo-road-greenacre-nsw-2190-2015520231,1,2,607,8
7/09/2019,Greenwich,53 Gore St,Sold prior to auction,0,House,5,https://www.domain.com.au/53-gore-street-greenwich-nsw-2065-2015509315,3,2,,8
7/09/2019,Greenwich,2B St Lawrence St,Sold,0,House,4,https://www.domain.com.au/2b-st-lawrence-street-greenwich-nsw-2065-2015508909,2,2,,13
7/09/2019,Guildford,6 Bury Rd,Sold,725000,House,4,https://www.domain.com.au/6-bury-rd-guildford-nsw-2161-2015526047,1,1,819,7
7/09/2019,Hinchinbrook,80B Sanderling St,Sold prior to auction,0,House,3,https://www.domain.com.au/hinchinbrook-nsw-2168-2015517006,2,1,318,13
7/09/2019,Homebush,8/1-3 Beresford Rd,Sold,0,Unit,2,https://www.domain.com.au/8-1-3-beresford-road-strathfield-nsw-2135-2015512771,2,2,147,16
7/09/2019,Homebush,40 Ismay Av,Sold,1632000,House,3,https://www.domain.com.au/40-ismay-avenue-homebush-nsw-2140-2015505017,2,2,518,6
7/09/2019,Hoxton Park,22 Nymboida Av,Sold,780000,House,4,https://www.domain.com.au/22-nymboida-avenue-hoxton-park-nsw-2171-2015518698,2,1,450,9
7/09/2019,Hunters Hill,80 Blaxland St,Sold prior to auction,0,House,3,https://www.domain.com.au/80-blaxland-street-hunters-hill-nsw-2110-2015511209,2,3,1025,16
7/09/2019,Hunters Hill,1/8 Tiree Av,Sold prior to auction,1515000,Unit,2,https://www.domain.com.au/1-8-tiree-avenue-hunters-hill-nsw-2110-2015505452,2,1,1163,7
7/09/2019,Kingsgrove,26 Cripps Av,Sold,1220000,House,5,https://www.domain.com.au/26-cripps-avenue-kingsgrove-nsw-2208-2015517106,4,3,478,8
7/09/2019,Kirrawee,30 Stirling Av,Sold,1210000,House,5,https://www.domain.com.au/30-stirling-avenue-kirrawee-nsw-2232-2015518693,2,3,5564,5
7/09/2019,Kirribilli,22/1 McDougall St,Sold prior to auction,1700000,Unit,3,https://www.domain.com.au/22-1-mcdougall-street-kirribilli-nsw-2061-2015525497,2,2,,8
7/09/2019,Kogarah,3/2 Kensington St,Sold prior to auction,0,Unit,2,https://www.domain.com.au/3-2-kensington-street-kogarah-nsw-2217-2015512408,2,1,,8
7/09/2019,Kogarah,1/69 Marshall St,Sold,951000,Townhouse,3,https://www.domain.com.au/1-69-marshall-street-kogarah-nsw-2217-2015517475,2,1,,6
7/09/2019,Kogarah,5 Traynor Av,Sold,1370000,House,3,https://www.domain.com.au/5-traynor-avenue-kogarah-nsw-2217-2015514519,1,3,461,5
7/09/2019,Lane Cove North,1/43-51 Helen St,Sold,0,Unit,2,https://www.domain.com.au/1-43-helen-street-lane-cove-nsw-2066-2015523053,1,1,,7
7/09/2019,Lane Cove North,12/21 Longueville Rd,Sold,0,Unit,3,https://www.domain.com.au/12-21-23-longueville-road-lane-cove-nsw-2066-2015524552,1,1,,7
7/09/2019,Leichhardt,72 Albert St,Sold,1250000,House,3,https://www.domain.com.au/72-albert-street-leichhardt-nsw-2040-2015506875,1,,,14
7/09/2019,Leichhardt,37 Elswick St,Sold,1770000,House,3,https://www.domain.com.au/37-elswick-street-leichhardt-nsw-2040-2015516639,2,,278,10
7/09/2019,Lidcombe,17 Woodburn Rd,Sold,1510000,House,5,https://www.domain.com.au/17-woodburn-road-lidcombe-nsw-2141-2015521363,3,4,4553,9
7/09/2019,Macquarie Park,9/5 Peach Tree Rd,Sold,737000,Unit,2,https://www.domain.com.au/9-5-peachtree-road-macquarie-park-nsw-2113-2015510274,1,1,,6
7/09/2019,Manly,80 Addison Rd,Sold prior to auction,5275000,House,5,https://www.domain.com.au/80-addison-road-manly-nsw-2095-2015526090,5,4,,13
7/09/2019,Manly,1/21 Eustace St,Sold prior to auction,865000,Unit,2,https://www.domain.com.au/1-21-eustace-street-manly-nsw-2095-2015510688,1,,,11
7/09/2019,Maroubra,201/90-92 Marine Pde,Sold prior to auction,0,Unit,3,https://www.domain.com.au/201-92-marine-parade-maroubra-nsw-2035-2015525056,2,2,,9
7/09/2019,Marrickville,9 Black St,Sold,1850000,House,3,https://www.domain.com.au/9-black-street-marrickville-nsw-2204-2015508685,2,3,335,5
7/09/2019,Marrickville,19/295 Victoria Rd,Sold,857000,Unit,2,https://www.domain.com.au/19-295-victoria-road-marrickville-nsw-2204-2015525318,1,1,115,16
7/09/2019,Marsfield,74/6-8 Nile Cl,Sold prior to auction,520000,Unit,1,https://www.domain.com.au/74-6-nile-close-marsfield-nsw-2122-2015526344,1,1,,9
7/09/2019,Marsfield,6/22-24 Taranto Rd,Sold prior to auction,0,Townhouse,2,https://www.domain.com.au/6-22-taranto-road-marsfield-nsw-2122-2015517656,1,1,,11
7/09/2019,Merrylands,7 Alderney Rd,Sold prior to auction,823000,House,4,https://www.domain.com.au/7-alderney-road-merrylands-nsw-2160-2015518720,2,1,392,6
7/09/2019,Merrylands,6 Grace Cr,Sold,950000,House,4,https://www.domain.com.au/6-grace-crescent-merrylands-nsw-2160-2015510200,2,2,607,15
7/09/2019,Miranda,3/2-4 Junction St,Sold,779000,Villa,2,https://www.domain.com.au/3-2-junction-street-miranda-nsw-2228-2015525310,1,1,,4
