host_listings_count,host_total_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month
7,7,4,2,3,93,3,31,3,3,31,31,3,31,30,60,90,102,241,16,0,92,10,10,10,10,10,10,7,7,0,2.62
5,5,6,2,5,149,2,1125,2,4,1125,1125,2.1,1125,0,0,0,169,50,2,0,95,10,9,10,10,9,10,5,5,0,0.55
5,5,6,2,5,153,2,1125,2,4,1125,1125,2.1,1125,0,0,0,172,19,1,0,83,9,9,9,9,9,9,5,5,0,0.21
5,5,6,2,5,144,2,1125,2,4,1125,1125,2.1,1125,24,52,82,357,105,5,0,91,9,9,10,9,9,9,5,5,0,1.13
5,5,9,3,7,186,2,365,2,4,365,365,2.1,365,1,1,1,1,141,6,0,88,9,9,9,9,9,9,5,5,0,1.46
1,1,2,1,1,80,1,60,1,1,60,60,1,60,29,59,89,361,15,3,0,94,10,9,10,10,10,9,3,1,2,0.17
1,1,3,1,1,80,5,1125,5,5,1125,1125,5,1125,0,0,0,52,8,0,0,98,10,10,9,9,10,9,1,1,0,0.19
2,2,4,2,2,220,4,30,2,4,1125,1125,3.9,1125,0,0,0,112,36,0,0,94,10,9,10,10,10,9,2,2,0,0.36
1,1,2,1,1,45,2,1125,2,2,1125,1125,2,1125,1,1,1,1,300,24,1,99,10,10,10,10,10,10,1,0,1,3
3,3,4,2,3,98.57,2,90,2,2,90,90,2,90,24,54,84,95,116,9,0,97,10,10,10,10,10,10,3,3,0,1.16
3,3,4,1,2,111,2,90,2,2,90,90,2,90,0,0,0,0,195,12,0,97,10,10,10,10,10,10,3,3,0,1.96
1,1,6,2,4,90,2,365,2,7,365,365,2.4,365,0,3,13,13,106,3,0,96,10,10,10,10,9,9,1,1,0,1.09
3,3,4,2,3,59,2,14,2,2,14,14,2,14,0,0,1,22,192,0,0,99,10,10,10,10,10,10,3,0,3,1.92
5,5,2,1,2,50,2,14,2,3,14,14,2,14,9,9,15,278,97,1,0,96,10,10,10,10,9,10,4,0,4,0.98
6,6,5,2,4,96,2,90,1,3,28,28,1.5,28,30,60,90,365,141,81,0,93,9,9,9,9,10,10,6,4,0,2.66
6,6,5,2,4,70,7,300,7,7,1125,1125,7,1125,0,19,49,324,75,3,0,91,10,10,9,9,9,9,6,4,0,0.86
6,6,5,2,4,70,7,300,3,7,1125,1125,6.9,1125,30,60,90,365,115,8,0,94,10,10,10,10,9,10,6,4,0,2.07
2,2,1,1,1,37,1,90,1,1,90,90,1,90,0,0,19,294,51,0,0,93,9,9,10,10,10,10,2,0,2,0.51
2,2,1,1,1,35,1,365,1,1,365,365,1,365,0,0,0,263,158,0,0,93,10,10,10,10,10,10,2,0,2,1.6
3,3,4,1,0,111,2,90,2,2,90,90,2,90,30,60,90,129,94,11,1,98,10,10,10,10,10,10,3,3,0,0.95
1,1,2,1,0,91,2,1125,2,2,1125,1125,2,1125,28,58,66,87,667,35,0,99,10,10,10,10,10,10,1,1,0,6.88
69,69,2,1,1,103,2,365,2,7,365,365,2.9,365,24,54,84,359,7,2,1,70,8,8,8,8,8,7,54,54,0,0.08
69,69,10,4,8,207,2,365,2,7,365,365,2.9,365,28,56,86,343,5,0,0,60,8,8,10,8,8,6,54,54,0,0.05
2,2,2,1,0,60,2,60,2,2,60,60,2,60,29,57,78,353,23,1,0,96,10,10,10,10,10,10,2,0,2,0.25
3,3,2,1,2,59,2,14,2,2,14,14,2,14,0,0,0,22,110,0,0,97,10,10,10,10,10,10,3,0,3,1.12
3,3,2,1,1,59,2,14,2,2,14,14,2,14,0,0,0,0,150,0,0,98,10,10,10,10,10,10,3,0,3,1.55
2,2,6,2,5,80,1,1125,1,1,1125,1125,1,1125,11,23,37,143,353,43,8,99,10,10,10,10,10,10,1,1,0,3.91
1,1,4,1,2,80,2,365,2,2,365,365,2,365,0,0,0,0,206,14,0,97,10,10,10,10,10,10,1,1,0,2.3
1,1,9,4,5,180,2,365,1,7,1125,1125,2.4,1125,29,59,85,354,183,20,0,97,10,10,10,10,10,9,1,1,0,2.06
13,13,8,3,7,257,2,1000,2,21,1125,1125,3.5,1125,0,0,0,113,60,3,0,89,9,9,9,10,10,8,2,2,0,0.63
2,2,3,1,1,50,1,14,1,1,14,14,1,14,0,0,0,0,280,17,0,96,10,10,10,10,10,10,1,0,1,2.87
5,5,10,4,8,135,1,1125,2,5,30,30,2.4,30,0,0,0,0,182,9,1,94,10,10,10,10,10,9,3,3,0,1.97
5,5,10,4,8,135,1,1125,2,5,30,30,2.4,30,30,60,90,323,115,15,0,94,10,10,10,10,10,10,3,3,0,1.32
1,1,2,1,1,80,2,2,2,2,2,2,2,2,23,53,83,173,8,0,0,93,10,10,9,9,10,9,1,0,1,0.09
1,1,5,3,5,95,3,28,3,3,1125,1125,3,1125,11,24,54,262,193,12,1,89,10,10,9,10,10,9,1,1,0,1.99
1,1,6,2,2,87,2,30,2,4,30,30,2.1,30,21,44,70,226,184,15,3,99,10,10,10,10,10,10,1,1,0,1.93
2,2,6,3,5,89,2,60,2,7,60,60,5.4,60,0,0,0,0,36,0,0,86,9,9,9,9,10,9,1,1,0,0.48
2,2,4,2,2,96,2,30,2,2,30,30,2,30,27,57,87,87,229,7,0,93,10,9,10,10,10,10,1,1,0,2.36
3,3,4,2,3,65,3,1125,2,3,1125,1125,2.9,1125,7,12,36,290,237,41,2,95,10,9,10,10,10,10,2,2,0,2.64
12,12,8,3,4,175,2,1125,2,7,1125,1125,2.4,1125,21,49,79,286,76,2,0,85,9,8,9,9,10,8,10,10,0,0.8
30,30,4,1,2,84,3,365,3,7,365,365,3.4,365,0,0,0,262,78,4,0,93,10,9,10,10,10,9,24,24,0,0.84
30,30,5,2,2,59,3,62,3,7,62,62,3.4,62,11,41,71,244,53,9,2,98,10,10,10,10,10,10,24,24,0,0.58
3,3,3,1,2,55,1,365,1,1,365,365,1,365,0,0,19,294,45,0,0,97,10,10,10,10,10,10,3,1,2,0.5
4,4,8,3,7,256,1,1125,1,2,1125,1125,1.3,1125,30,60,75,306,141,2,0,95,10,9,10,10,10,9,4,4,0,1.52
1,1,2,1,1,92,1,1125,1,1,1125,1125,1,1125,0,18,48,170,11,0,0,95,9,10,9,9,9,9,1,0,1,0.13
10,10,4,2,3,144,3,360,3,5,360,360,3.3,360,0,0,0,0,28,3,0,98,10,9,10,10,10,9,1,1,0,0.35
3,3,5,3,7,100,2,21,2,2,21,21,2,21,21,42,66,293,182,17,1,96,10,10,10,10,10,10,2,2,0,1.96
2,2,3,1,3,60,2,7,2,2,7,7,2,7,0,0,0,0,72,2,0,97,10,10,10,10,10,10,2,0,2,0.95
5,5,2,1,2,40,2,14,2,3,14,14,2,14,0,0,6,269,18,0,0,94,10,10,10,10,9,9,4,0,4,0.21
1,1,4,1,2,45,4,90,4,4,90,90,4,90,0,1,1,145,79,0,0,84,8,8,10,9,9,9,1,1,0,0.87
69,69,4,2,2,139,2,365,2,7,365,365,2.9,365,28,55,85,337,11,2,1,100,10,10,10,10,10,10,54,54,0,0.13
2,2,8,4,5,105,4,62,4,4,62,62,4,62,28,58,88,335,19,0,0,92,9,9,9,9,10,9,1,1,0,0.2
1,1,2,1,1,50,2,1125,2,2,1125,1125,2,1125,0,0,0,0,103,18,0,92,9,9,10,10,10,9,1,1,0,1.08
2,2,2,,1,101,3,31,1,4,1125,1125,3.2,1125,11,24,40,260,719,72,8,100,,,,,,,2,2,0,7.77
6,6,2,1,1,35,2,7,2,2,7,7,2,7,0,0,6,6,395,18,0,95,10,10,10,10,10,10,5,1,4,4.21
1,1,2,1,1,60,1,60,1,1,1125,1125,1,1125,0,0,0,0,27,1,0,100,10,10,10,10,10,10,1,0,1,0.33
2,2,4,1,2,64,3,30,3,3,30,30,3,30,10,10,10,10,320,25,2,98,10,10,10,10,10,10,2,2,0,3.41
