,host_listings_count,host_total_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,latitude,longitude
2916,4,4,3,1,2,40,3,1125,3,3,1125,1125,3,1125,28,58,88,363,41,3,0,93,10,9,10,9,9,9,3,3,0,1.2,55.97504,-3.18048
2969,1,1,2,1,1,40,2,15,2,2,15,15,2,15,0,0,0,0,28,1,0,95,10,9,9,10,9,9,1,0,1,0.81,55.9328,-3.26573
2984,1,1,2,1,1,40,3,1125,3,3,1125,1125,3,1125,28,58,88,363,7,1,0,94,10,9,10,10,10,10,1,0,1,0.2,55.93904,-3.19954
3005,1,1,2,1,1,40,2,365,2,2,1125,1125,2,1125,0,0,0,20,96,17,0,94,10,10,10,10,10,9,1,1,0,2.8,55.95851,-3.18795
3147,1,1,2,1,1,40,1,30,1,1,1125,1125,1,1125,0,0,0,0,112,23,1,90,9,9,9,9,10,9,1,1,0,3.54,55.95671,-3.1707
3163,1,1,2,1,1,40,2,365,2,2,1125,1125,2,1125,0,4,34,124,67,15,1,95,10,9,10,10,10,10,1,1,0,2.3,55.97262,-3.18538
3171,4,4,3,1,2,40,1,7,1,1,7,7,1,7,24,50,73,309,60,14,1,92,10,9,10,10,10,9,4,3,1,1.88,55.94567,-3.2035
3189,1,1,2,1,1,40,2,30,2,2,1125,1125,2,1125,0,1,13,17,65,15,2,100,10,10,10,10,10,10,1,1,0,2.1,55.95037,-3.13929
3242,1,1,2,1,1,40,2,21,2,2,21,21,2,21,27,57,87,87,17,0,0,100,10,10,10,10,10,10,1,0,1,0.55,55.97712,-3.21063
3348,2,2,2,1,1,40,1,1125,1,1,1125,1125,1,1125,0,0,0,0,124,16,0,99,10,10,10,10,10,10,1,0,1,4.16,55.98419,-3.37917
